Wavelength (nm),Absorbance,Title,Time
190,0.337,1L_22oct2015,10/29/2015 9:30:35 AM
191,0.644,,
192,0.427,,
193,0.08,,
194,0.03,,
195,-0.163,,
196,-0.252,,
197,-0.309,,
198,-0.416,,
199,-0.181,,
200,-0.065,,
201,-0.14,,
202,0.165,,
203,0.317,,
204,0.294,,
205,0.182,,
206,0.25,,
207,0.186,,
208,0.17,,
209,-0.173,,
210,-0.198,,
211,-0.075,,
212,0.111,,
213,0.185,,
214,-0.077,,
215,0.1,,
216,0.22,,
217,0.349,,
218,0.387,,
219,0.216,,
220,0.337,,
221,0.341,,
222,0.322,,
223,0.337,,
224,0.342,,
225,0.35,,
226,0.353,,
227,0.355,,
228,0.354,,
229,0.356,,
230,0.349,,
231,0.344,,
232,0.335,,
233,0.326,,
234,0.322,,
235,0.317,,
236,0.316,,
237,0.311,,
238,0.306,,
239,0.304,,
240,0.3,,
241,0.298,,
242,0.295,,
243,0.292,,
244,0.289,,
245,0.287,,
246,0.286,,
247,0.284,,
248,0.279,,
249,0.275,,
250,0.272,,
251,0.271,,
252,0.269,,
253,0.265,,
254,0.264,,
255,0.261,,
256,0.26,,
257,0.259,,
258,0.256,,
259,0.256,,
260,0.254,,
261,0.252,,
262,0.248,,
263,0.246,,
264,0.242,,
265,0.239,,
266,0.239,,
267,0.238,,
268,0.237,,
269,0.233,,
270,0.231,,
271,0.229,,
272,0.226,,
273,0.223,,
274,0.221,,
275,0.22,,
276,0.218,,
277,0.215,,
278,0.213,,
279,0.21,,
280,0.208,,
281,0.206,,
282,0.203,,
283,0.2,,
284,0.197,,
285,0.195,,
286,0.192,,
287,0.19,,
288,0.188,,
289,0.186,,
290,0.183,,
291,0.179,,
292,0.176,,
293,0.174,,
294,0.172,,
295,0.17,,
296,0.168,,
297,0.167,,
298,0.164,,
299,0.161,,
300,0.158,,
301,0.156,,
302,0.154,,
303,0.152,,
304,0.151,,
305,0.149,,
306,0.147,,
307,0.144,,
308,0.141,,
