Wavelength (nm),Absorbance,Title,Time
190,0.363,4L_22oct2015,10/29/2015 9:31:28 AM
191,0.563,,
192,0.528,,
193,0.289,,
194,0.124,,
195,-0.269,,
196,-0.283,,
197,-0.293,,
198,-0.551,,
199,-0.223,,
200,-0.159,,
201,-0.066,,
202,-0.019,,
203,-0.115,,
204,-0.019,,
205,-0.178,,
206,-0.169,,
207,-0.237,,
208,-0.093,,
209,-0.089,,
210,-0.119,,
211,-0.014,,
212,0.007,,
213,-0.016,,
214,-0.252,,
215,-0.216,,
216,-0.065,,
217,0.135,,
218,0.302,,
219,0.339,,
220,0.339,,
221,0.31,,
222,0.286,,
223,0.337,,
224,0.346,,
225,0.345,,
226,0.341,,
227,0.341,,
228,0.34,,
229,0.341,,
230,0.339,,
231,0.331,,
232,0.32,,
233,0.314,,
234,0.31,,
235,0.307,,
236,0.305,,
237,0.3,,
238,0.297,,
239,0.293,,
240,0.289,,
241,0.286,,
242,0.282,,
243,0.28,,
244,0.278,,
245,0.277,,
246,0.276,,
247,0.273,,
248,0.268,,
249,0.263,,
250,0.261,,
251,0.258,,
252,0.255,,
253,0.25,,
254,0.249,,
255,0.248,,
256,0.248,,
257,0.247,,
258,0.245,,
259,0.244,,
260,0.241,,
261,0.239,,
262,0.236,,
263,0.235,,
264,0.232,,
265,0.229,,
266,0.228,,
267,0.226,,
268,0.225,,
269,0.221,,
270,0.219,,
271,0.217,,
272,0.216,,
273,0.214,,
274,0.211,,
275,0.208,,
276,0.205,,
277,0.202,,
278,0.201,,
279,0.2,,
280,0.198,,
281,0.196,,
282,0.193,,
283,0.19,,
284,0.186,,
285,0.184,,
286,0.18,,
287,0.178,,
288,0.177,,
289,0.176,,
290,0.173,,
291,0.169,,
292,0.166,,
293,0.164,,
294,0.162,,
295,0.16,,
296,0.158,,
297,0.156,,
298,0.152,,
299,0.15,,
300,0.148,,
301,0.147,,
302,0.145,,
303,0.143,,
304,0.141,,
305,0.139,,
306,0.137,,
307,0.134,,
308,0.132,,
309,0.132,,
310,0.13,,
311,0.128,,
312,0.127,,
313,0.124,,
314,0.122,,
315,0.121,,
316,0.119,,
317,0.118,,
318,0.116,,
319,0.116,,
320,0.115,,
321,0.113,,
322,0.111,,
323,0.11,,
324,0.108,,
325,0.107,,
326,0.106,,
327,0.104,,
328,0.102,,
329,0.101,,
330,0.1,,
331,0.099,,
332,0.098,,
333,0.097,,
334,0.094,,
335,0.093,,
336,0.091,,
337,0.09,,
338,0.089,,
339,0.088,,
340,0.086,,
341,0.085,,
342,0.084,,
343,0.084,,
344,0.083,,
345,0.081,,
346,0.079,,
347,0.078,,
348,0.078,,
349,0.077,,
350,0.076,,
351,0.074,,
352,0.073,,
353,0.072,,
354,0.072,,
355,0.07,,
356,0.069,,
357,0.068,,
358,0.068,,
359,0.068,,
360,0.067,,
361,0.067,,
362,0.067,,
363,0.064,,
364,0.063,,
365,0.062,,
366,0.062,,
367,0.062,,
368,0.062,,
369,0.061,,
370,0.061,,
371,0.06,,
372,0.059,,
373,0.058,,
374,0.057,,
375,0.057,,
376,0.056,,
377,0.054,,
378,0.054,,
379,0.053,,
380,0.053,,
381,0.053,,
382,0.051,,
383,0.05,,
384,0.049,,
385,0.048,,
386,0.049,,
387,0.049,,
388,0.048,,
389,0.048,,
390,0.047,,
391,0.047,,
392,0.047,,
393,0.047,,
394,0.047,,
395,0.046,,
396,0.044,,
397,0.042,,
398,0.041,,
399,0.04,,
400,0.039,,
401,0.039,,
402,0.041,,
403,0.043,,
404,0.043,,
405,0.042,,
406,0.041,,
407,0.041,,
408,0.04,,
409,0.039,,
410,0.039,,
411,0.039,,
412,0.038,,
413,0.038,,
414,0.038,,
415,0.038,,
416,0.037,,
417,0.037,,
418,0.036,,
419,0.034,,
420,0.033,,
421,0.032,,
422,0.032,,
423,0.031,,
424,0.031,,
425,0.031,,
426,0.031,,
427,0.032,,
428,0.032,,
429,0.031,,
430,0.03,,
431,0.03,,
432,0.03,,
433,0.029,,
434,0.029,,
435,0.029,,
436,0.029,,
437,0.029,,
438,0.028,,
439,0.028,,
440,0.028,,
441,0.027,,
442,0.026,,
443,0.026,,
444,0.026,,
445,0.026,,
446,0.026,,
447,0.025,,
448,0.025,,
449,0.024,,
450,0.024,,
451,0.024,,
452,0.024,,
453,0.023,,
454,0.024,,
455,0.024,,
456,0.024,,
457,0.024,,
458,0.023,,
459,0.023,,
460,0.022,,
461,0.021,,
462,0.022,,
463,0.022,,
464,0.022,,
465,0.021,,
466,0.021,,
467,0.02,,
468,0.02,,
469,0.019,,
470,0.018,,
471,0.019,,
472,0.019,,
473,0.02,,
474,0.02,,
475,0.019,,
476,0.019,,
477,0.018,,
478,0.017,,
479,0.017,,
480,0.017,,
481,0.017,,
482,0.017,,
483,0.017,,
484,0.017,,
485,0.017,,
486,0.017,,
487,0.017,,
488,0.016,,
489,0.016,,
490,0.015,,
491,0.015,,
492,0.015,,
493,0.015,,
494,0.015,,
495,0.015,,
496,0.015,,
497,0.016,,
498,0.015,,
499,0.016,,
500,0.016,,
501,0.015,,
502,0.015,,
503,0.015,,
504,0.015,,
505,0.014,,
506,0.014,,
