Wavelength (nm),Absorbance,Title,Time
190,0.211,11S_22oct2015,10/29/2015 9:32:37 AM
191,0.202,,
192,0.079,,
193,0.088,,
194,0.131,,
195,-0.071,,
196,-0.109,,
197,-0.291,,
198,-0.395,,
199,-0.172,,
200,0.079,,
201,0.04,,
202,0.255,,
203,0.499,,
204,0.462,,
205,0.236,,
206,0.149,,
207,0.134,,
208,0.33,,
209,0.124,,
210,-0.106,,
211,-0.093,,
212,-0.209,,
213,-0.192,,
214,-0.239,,
215,-0.214,,
216,-0.106,,
217,0.071,,
218,0.215,,
219,0.244,,
220,0.179,,
221,0.156,,
222,0.138,,
223,0.151,,
224,0.158,,
225,0.157,,
226,0.159,,
227,0.159,,
228,0.158,,
229,0.158,,
230,0.157,,
231,0.153,,
232,0.149,,
233,0.145,,
234,0.143,,
235,0.142,,
236,0.14,,
237,0.138,,
238,0.137,,
239,0.137,,
240,0.136,,
241,0.135,,
242,0.133,,
243,0.132,,
244,0.13,,
245,0.13,,
246,0.129,,
247,0.128,,
248,0.127,,
249,0.125,,
250,0.125,,
251,0.125,,
252,0.124,,
253,0.122,,
254,0.12,,
255,0.12,,
256,0.119,,
257,0.119,,
258,0.118,,
259,0.117,,
260,0.116,,
261,0.114,,
262,0.113,,
263,0.113,,
264,0.111,,
265,0.109,,
266,0.109,,
267,0.109,,
268,0.108,,
269,0.105,,
270,0.104,,
271,0.103,,
272,0.102,,
273,0.101,,
274,0.099,,
275,0.098,,
276,0.097,,
277,0.096,,
278,0.095,,
279,0.094,,
280,0.093,,
281,0.092,,
282,0.091,,
283,0.089,,
284,0.087,,
285,0.086,,
286,0.084,,
287,0.084,,
288,0.083,,
289,0.083,,
290,0.081,,
291,0.079,,
292,0.078,,
293,0.076,,
294,0.076,,
295,0.076,,
296,0.076,,
297,0.075,,
298,0.073,,
299,0.072,,
300,0.071,,
301,0.069,,
302,0.068,,
303,0.068,,
304,0.068,,
305,0.068,,
306,0.067,,
307,0.064,,
308,0.063,,
309,0.064,,
310,0.064,,
311,0.064,,
312,0.062,,
313,0.061,,
314,0.06,,
315,0.059,,
316,0.058,,
317,0.058,,
318,0.058,,
319,0.058,,
320,0.058,,
321,0.057,,
322,0.056,,
323,0.055,,
324,0.054,,
325,0.053,,
326,0.053,,
327,0.053,,
328,0.052,,
329,0.051,,
330,0.051,,
331,0.051,,
332,0.051,,
333,0.05,,
334,0.048,,
335,0.048,,
336,0.047,,
337,0.047,,
338,0.047,,
339,0.046,,
340,0.045,,
341,0.044,,
342,0.044,,
343,0.044,,
344,0.044,,
345,0.043,,
346,0.042,,
347,0.041,,
348,0.041,,
349,0.04,,
350,0.04,,
351,0.04,,
352,0.04,,
353,0.038,,
354,0.037,,
355,0.036,,
356,0.036,,
357,0.037,,
358,0.037,,
359,0.037,,
360,0.036,,
361,0.035,,
362,0.036,,
363,0.034,,
364,0.034,,
365,0.032,,
366,0.033,,
367,0.034,,
368,0.033,,
369,0.032,,
370,0.032,,
371,0.033,,
372,0.033,,
373,0.032,,
374,0.031,,
375,0.03,,
376,0.03,,
377,0.029,,
378,0.03,,
379,0.029,,
380,0.028,,
381,0.028,,
382,0.026,,
383,0.026,,
384,0.026,,
385,0.025,,
386,0.026,,
387,0.027,,
388,0.027,,
389,0.026,,
390,0.025,,
391,0.025,,
392,0.025,,
393,0.024,,
394,0.024,,
395,0.025,,
396,0.023,,
397,0.022,,
398,0.021,,
399,0.02,,
400,0.019,,
401,0.019,,
402,0.022,,
403,0.024,,
404,0.023,,
405,0.021,,
406,0.02,,
407,0.021,,
408,0.021,,
409,0.021,,
410,0.02,,
411,0.02,,
412,0.021,,
413,0.02,,
414,0.021,,
415,0.021,,
416,0.021,,
417,0.02,,
418,0.019,,
419,0.018,,
420,0.017,,
421,0.017,,
422,0.018,,
423,0.017,,
424,0.017,,
425,0.016,,
426,0.017,,
427,0.017,,
428,0.017,,
429,0.017,,
430,0.016,,
431,0.016,,
432,0.016,,
433,0.015,,
434,0.015,,
435,0.015,,
436,0.016,,
437,0.015,,
438,0.015,,
439,0.015,,
440,0.015,,
441,0.015,,
442,0.014,,
443,0.014,,
444,0.015,,
445,0.015,,
446,0.015,,
447,0.014,,
448,0.014,,
449,0.013,,
450,0.012,,
451,0.013,,
452,0.013,,
453,0.013,,
454,0.013,,
455,0.013,,
456,0.014,,
457,0.013,,
458,0.013,,
459,0.013,,
460,0.013,,
461,0.012,,
462,0.012,,
463,0.012,,
464,0.012,,
465,0.012,,
466,0.013,,
467,0.012,,
468,0.011,,
469,0.011,,
470,0.011,,
471,0.012,,
472,0.012,,
473,0.012,,
474,0.011,,
475,0.011,,
476,0.01,,
477,0.009,,
478,0.009,,
479,0.01,,
480,0.011,,
481,0.01,,
482,0.01,,
483,0.01,,
484,0.01,,
485,0.01,,
