Wavelength (nm),Absorbance,Title,Time
190,0.094,3L_01oct2015,10/8/2015 11:10:09 AM
191,-0.205,,
192,-0.299,,
193,-0.305,,
194,-0.229,,
195,-0.258,,
196,-0.104,,
197,-0.244,,
198,-0.102,,
199,-0.148,,
200,-0.03,,
201,0.29,,
202,-0.06,,
203,-0.22,,
204,-0.68,,
205,-0.654,,
206,-0.233,,
207,-0.06,,
208,0.056,,
209,-0.079,,
210,-0.264,,
211,-0.112,,
212,-0.008,,
213,0.185,,
214,0.216,,
215,0.128,,
216,0.113,,
217,0.122,,
218,0.189,,
219,0.188,,
220,0.224,,
221,0.225,,
222,0.252,,
223,0.272,,
224,0.275,,
225,0.278,,
226,0.278,,
227,0.284,,
228,0.286,,
229,0.284,,
230,0.282,,
231,0.275,,
232,0.266,,
233,0.257,,
234,0.25,,
235,0.247,,
236,0.246,,
237,0.242,,
238,0.237,,
239,0.235,,
240,0.235,,
241,0.237,,
242,0.236,,
243,0.233,,
244,0.227,,
245,0.224,,
246,0.226,,
247,0.227,,
248,0.225,,
249,0.22,,
250,0.216,,
251,0.214,,
252,0.215,,
253,0.213,,
254,0.21,,
255,0.208,,
256,0.206,,
257,0.207,,
258,0.208,,
259,0.208,,
260,0.207,,
261,0.203,,
262,0.199,,
263,0.196,,
264,0.195,,
265,0.196,,
266,0.194,,
267,0.192,,
268,0.19,,
269,0.187,,
270,0.187,,
271,0.185,,
272,0.183,,
273,0.181,,
274,0.179,,
275,0.177,,
276,0.175,,
277,0.172,,
278,0.168,,
279,0.166,,
280,0.165,,
281,0.164,,
282,0.163,,
283,0.159,,
284,0.156,,
285,0.153,,
286,0.15,,
287,0.148,,
288,0.145,,
289,0.143,,
290,0.141,,
291,0.139,,
292,0.137,,
293,0.134,,
294,0.132,,
295,0.13,,
296,0.128,,
297,0.125,,
298,0.123,,
299,0.12,,
300,0.117,,
301,0.117,,
302,0.115,,
303,0.113,,
304,0.112,,
305,0.11,,
306,0.108,,
307,0.106,,
308,0.104,,
