Wavelength (nm),Absorbance,Title,Time
220,0.257,3L_22sept2015,10/15/2015 10:56:20 AM
221,0.255,,
222,0.276,,
223,0.28,,
224,0.274,,
225,0.28,,
226,0.286,,
227,0.286,,
228,0.287,,
229,0.283,,
230,0.281,,
231,0.271,,
232,0.266,,
233,0.261,,
234,0.256,,
235,0.252,,
236,0.244,,
237,0.239,,
238,0.236,,
239,0.233,,
240,0.231,,
241,0.229,,
242,0.227,,
243,0.223,,
244,0.22,,
245,0.218,,
246,0.218,,
247,0.218,,
248,0.215,,
249,0.212,,
250,0.208,,
251,0.206,,
252,0.206,,
253,0.203,,
254,0.201,,
255,0.2,,
256,0.2,,
257,0.199,,
258,0.198,,
259,0.197,,
260,0.196,,
261,0.193,,
262,0.19,,
263,0.188,,
264,0.186,,
265,0.184,,
266,0.183,,
267,0.182,,
268,0.18,,
269,0.179,,
270,0.178,,
271,0.177,,
272,0.175,,
273,0.171,,
274,0.169,,
275,0.167,,
276,0.166,,
277,0.165,,
278,0.163,,
279,0.161,,
280,0.159,,
281,0.157,,
282,0.154,,
283,0.152,,
284,0.15,,
285,0.147,,
286,0.144,,
287,0.141,,
288,0.14,,
289,0.138,,
290,0.136,,
291,0.134,,
292,0.132,,
293,0.13,,
294,0.128,,
295,0.126,,
296,0.124,,
297,0.123,,
298,0.121,,
299,0.118,,
300,0.116,,
301,0.114,,
302,0.114,,
303,0.112,,
304,0.11,,
305,0.108,,
306,0.106,,
307,0.105,,
308,0.104,,
309,0.103,,
310,0.101,,
311,0.099,,
312,0.098,,
313,0.097,,
314,0.096,,
315,0.095,,
316,0.094,,
317,0.092,,
318,0.09,,
319,0.088,,
320,0.088,,
321,0.087,,
322,0.086,,
323,0.084,,
324,0.083,,
325,0.081,,
326,0.08,,
327,0.079,,
328,0.079,,
329,0.078,,
330,0.076,,
331,0.075,,
332,0.074,,
333,0.073,,
334,0.073,,
335,0.073,,
336,0.072,,
337,0.07,,
338,0.07,,
339,0.068,,
340,0.067,,
341,0.066,,
342,0.065,,
343,0.064,,
344,0.063,,
345,0.062,,
346,0.062,,
347,0.062,,
348,0.06,,
349,0.058,,
350,0.057,,
351,0.056,,
352,0.057,,
353,0.056,,
354,0.056,,
355,0.054,,
356,0.053,,
357,0.053,,
358,0.053,,
359,0.053,,
360,0.051,,
361,0.051,,
362,0.05,,
363,0.049,,
364,0.048,,
365,0.047,,
366,0.047,,
367,0.046,,
368,0.045,,
369,0.045,,
370,0.044,,
371,0.044,,
372,0.043,,
373,0.042,,
374,0.042,,
375,0.04,,
376,0.039,,
377,0.039,,
378,0.039,,
379,0.039,,
380,0.039,,
381,0.039,,
382,0.038,,
383,0.037,,
384,0.035,,
385,0.035,,
386,0.035,,
387,0.035,,
388,0.034,,
389,0.033,,
390,0.033,,
391,0.033,,
392,0.034,,
393,0.035,,
394,0.035,,
395,0.033,,
396,0.03,,
397,0.028,,
398,0.028,,
399,0.029,,
400,0.029,,
401,0.028,,
402,0.027,,
