Wavelength (nm),Absorbance,Title,Time
190,-0.077,10LS_05nov2015,11/19/2015 11:22:02 AM
191,-0.059,,
192,-0.086,,
193,-0.105,,
194,-0.08,,
195,0.04,,
196,0.094,,
197,0.093,,
198,0.05,,
199,0.165,,
200,-0.141,,
201,-0.201,,
202,-0.211,,
203,-0.079,,
204,0.086,,
205,-0.166,,
206,0.103,,
207,0.343,,
208,0.357,,
209,0.434,,
210,0.21,,
211,0.275,,
212,0.392,,
213,0.29,,
214,0.316,,
215,0.117,,
216,0.091,,
217,0.12,,
218,0.143,,
219,0.204,,
220,0.184,,
221,0.215,,
222,0.222,,
223,0.217,,
224,0.217,,
225,0.226,,
226,0.228,,
227,0.227,,
228,0.227,,
229,0.229,,
230,0.225,,
231,0.221,,
232,0.214,,
233,0.212,,
234,0.212,,
235,0.21,,
236,0.208,,
237,0.203,,
238,0.201,,
239,0.197,,
240,0.194,,
241,0.194,,
242,0.196,,
243,0.196,,
244,0.194,,
245,0.191,,
246,0.191,,
247,0.191,,
248,0.189,,
249,0.189,,
250,0.187,,
251,0.187,,
252,0.186,,
253,0.185,,
254,0.183,,
255,0.181,,
256,0.179,,
257,0.177,,
258,0.177,,
259,0.177,,
260,0.178,,
261,0.175,,
262,0.174,,
263,0.172,,
264,0.17,,
265,0.17,,
266,0.169,,
267,0.169,,
268,0.166,,
269,0.163,,
270,0.161,,
271,0.161,,
272,0.16,,
273,0.158,,
274,0.157,,
275,0.155,,
276,0.154,,
277,0.152,,
278,0.15,,
279,0.148,,
280,0.147,,
281,0.146,,
282,0.144,,
283,0.142,,
284,0.139,,
285,0.138,,
286,0.135,,
287,0.134,,
288,0.133,,
289,0.131,,
290,0.13,,
291,0.128,,
292,0.128,,
293,0.126,,
294,0.124,,
295,0.123,,
296,0.123,,
297,0.121,,
298,0.119,,
299,0.117,,
300,0.114,,
301,0.113,,
302,0.113,,
303,0.112,,
304,0.11,,
305,0.11,,
306,0.109,,
307,0.107,,
308,0.105,,
309,0.103,,
310,0.103,,
311,0.102,,
312,0.101,,
313,0.099,,
314,0.097,,
315,0.097,,
316,0.096,,
317,0.096,,
318,0.095,,
319,0.094,,
320,0.092,,
321,0.091,,
322,0.09,,
323,0.089,,
324,0.088,,
325,0.087,,
326,0.086,,
327,0.084,,
328,0.083,,
329,0.081,,
330,0.081,,
331,0.081,,
332,0.08,,
333,0.08,,
334,0.078,,
335,0.077,,
336,0.077,,
337,0.076,,
338,0.075,,
339,0.074,,
340,0.073,,
341,0.072,,
342,0.071,,
343,0.071,,
344,0.07,,
345,0.069,,
346,0.069,,
347,0.068,,
348,0.067,,
349,0.066,,
350,0.065,,
351,0.065,,
352,0.065,,
353,0.066,,
354,0.065,,
355,0.063,,
356,0.062,,
357,0.061,,
358,0.062,,
359,0.062,,
360,0.062,,
361,0.061,,
362,0.06,,
363,0.057,,
364,0.055,,
365,0.055,,
366,0.056,,
367,0.056,,
368,0.057,,
369,0.056,,
370,0.055,,
371,0.054,,
372,0.053,,
373,0.051,,
374,0.051,,
375,0.05,,
376,0.05,,
377,0.049,,
378,0.047,,
379,0.047,,
380,0.047,,
381,0.047,,
382,0.046,,
383,0.045,,
384,0.044,,
385,0.044,,
386,0.044,,
387,0.043,,
388,0.041,,
389,0.04,,
390,0.041,,
391,0.042,,
392,0.043,,
393,0.042,,
394,0.042,,
395,0.04,,
396,0.039,,
397,0.037,,
398,0.036,,
399,0.036,,
400,0.036,,
401,0.035,,
402,0.036,,
403,0.037,,
404,0.038,,
405,0.037,,
406,0.036,,
407,0.034,,
408,0.034,,
409,0.035,,
410,0.034,,
411,0.034,,
412,0.034,,
413,0.034,,
414,0.033,,
415,0.033,,
416,0.032,,
417,0.032,,
418,0.03,,
419,0.029,,
420,0.029,,
421,0.029,,
422,0.028,,
423,0.028,,
424,0.027,,
425,0.027,,
426,0.027,,
427,0.026,,
428,0.027,,
429,0.026,,
430,0.026,,
431,0.025,,
432,0.026,,
433,0.026,,
434,0.025,,
435,0.025,,
436,0.025,,
437,0.025,,
438,0.024,,
439,0.023,,
440,0.023,,
441,0.023,,
442,0.022,,
443,0.022,,
444,0.022,,
445,0.022,,
446,0.021,,
447,0.021,,
448,0.021,,
449,0.021,,
450,0.02,,
451,0.019,,
452,0.02,,
453,0.019,,
454,0.02,,
455,0.02,,
456,0.021,,
457,0.02,,
458,0.019,,
459,0.018,,
460,0.018,,
461,0.019,,
462,0.019,,
463,0.019,,
464,0.019,,
465,0.018,,
466,0.018,,
467,0.018,,
468,0.017,,
469,0.017,,
470,0.016,,
471,0.015,,
472,0.016,,
473,0.017,,
474,0.017,,
475,0.016,,
476,0.016,,
477,0.017,,
478,0.016,,
479,0.015,,
480,0.015,,
481,0.015,,
482,0.015,,
483,0.015,,
484,0.015,,
485,0.016,,
486,0.015,,
487,0.014,,
488,0.014,,
489,0.014,,
490,0.013,,
491,0.013,,
492,0.013,,
493,0.013,,
494,0.013,,
495,0.013,,
496,0.014,,
497,0.014,,
498,0.014,,
499,0.013,,
500,0.013,,
501,0.014,,
502,0.013,,
503,0.013,,
504,0.013,,
505,0.013,,
506,0.013,,
507,0.012,,
508,0.012,,
509,0.012,,
510,0.012,,
511,0.012,,
512,0.012,,
513,0.012,,
514,0.012,,
515,0.011,,
516,0.011,,
517,0.011,,
518,0.01,,
519,0.01,,
520,0.01,,
521,0.01,,
522,0.011,,
523,0.011,,
524,0.01,,
525,0.009,,
526,0.009,,
527,0.009,,
528,0.01,,
529,0.009,,
530,0.009,,
531,0.009,,
532,0.008,,
533,0.009,,
534,0.009,,
535,0.01,,
536,0.01,,
537,0.009,,
538,0.009,,
539,0.01,,
540,0.009,,
541,0.009,,
542,0.008,,
543,0.009,,
544,0.009,,
545,0.009,,
546,0.008,,
547,0.008,,
548,0.008,,
549,0.007,,
550,0.007,,
551,0.007,,
552,0.007,,
553,0.007,,
554,0.007,,
555,0.007,,
556,0.007,,
557,0.007,,
558,0.006,,
559,0.007,,
560,0.007,,
561,0.007,,
562,0.006,,
563,0.006,,
564,0.007,,
565,0.008,,
566,0.007,,
567,0.006,,
568,0.007,,
569,0.007,,
570,0.007,,
571,0.006,,
572,0.006,,
573,0.007,,
574,0.008,,
575,0.006,,
576,0.005,,
577,0.006,,
578,0.007,,
579,0.007,,
580,0.006,,
581,0.007,,
582,0.006,,
583,0.006,,
584,0.005,,
585,0.005,,
586,0.006,,
587,0.007,,
588,0.007,,
589,0.005,,
590,0.004,,
591,0.004,,
592,0.005,,
593,0.005,,
594,0.004,,
595,0.005,,
596,0.004,,
597,0.004,,
598,0.004,,
599,0.004,,
600,0.004,,
601,0.004,,
602,0.004,,
603,0.004,,
604,0.003,,
605,0.003,,
606,0.004,,
607,0.005,,
608,0.006,,
609,0.005,,
610,0.004,,
611,0.004,,
612,0.004,,
613,0.004,,
614,0.003,,
615,0.002,,
616,0.002,,
617,0.003,,
618,0.004,,
619,0.004,,
620,0.005,,
621,0.005,,
622,0.005,,
623,0.003,,
624,0.004,,
625,0.006,,
626,0.005,,
627,0.005,,
628,0.004,,
629,0.005,,
630,0.005,,
631,0.005,,
632,0.005,,
633,0.005,,
634,0.005,,
635,0.004,,
636,0.004,,
637,0.003,,
638,0.003,,
639,0.002,,
640,0.002,,
641,0.002,,
642,0.004,,
643,0.004,,
644,0.003,,
645,0.003,,
646,0.002,,
647,0.003,,
648,0.004,,
649,0.004,,
650,0.003,,
651,0.004,,
652,0.004,,
653,0.004,,
654,0.005,,
655,0.006,,
656,0.006,,
657,0.005,,
658,0.005,,
659,0.003,,
660,0.003,,
661,0.003,,
662,0.002,,
663,0.001,,
664,0.001,,
665,0.003,,
666,0.004,,
667,0.003,,
668,0.002,,
669,0.003,,
670,0.004,,
671,0.005,,
672,0.003,,
673,0.003,,
674,0.003,,
675,0.003,,
676,0.003,,
677,0.003,,
678,0.003,,
679,0.002,,
680,0.002,,
681,0.002,,
682,0.001,,
683,0.002,,
684,0.003,,
685,0.004,,
686,0.002,,
687,0.002,,
688,0.003,,
689,0.004,,
690,0.003,,
691,0.003,,
692,0.002,,
693,0.004,,
694,0.004,,
695,0.004,,
696,0.003,,
697,0.003,,
698,0.003,,
699,0.002,,
700,0.001,,
701,0.002,,
702,0.002,,
703,0.001,,
704,0,,
705,0,,
706,0.001,,
707,0.002,,
708,0.003,,
709,0.003,,
710,0.002,,
711,0.001,,
712,0.002,,
713,0.003,,
714,0.002,,
715,0.001,,
716,0.002,,
717,0.004,,
718,0.004,,
719,0.003,,
720,0,,
721,0.001,,
722,0.003,,
723,0.004,,
724,0.001,,
725,0.001,,
726,0.001,,
727,0.001,,
728,0.002,,
729,0.002,,
730,0.002,,
731,0.002,,
732,0.001,,
733,0.002,,
734,0.002,,
735,0.001,,
