Wavelength (nm),Absorbance,Title,Time
220,0.376,7LS_22sept2015,10/15/2015 11:00:04 AM
221,0.29,,
222,0.294,,
223,0.308,,
224,0.299,,
225,0.294,,
226,0.292,,
227,0.295,,
228,0.295,,
229,0.287,,
230,0.282,,
231,0.273,,
232,0.263,,
233,0.257,,
234,0.252,,
235,0.248,,
236,0.241,,
237,0.233,,
238,0.228,,
239,0.223,,
240,0.222,,
241,0.223,,
242,0.225,,
243,0.221,,
244,0.215,,
245,0.211,,
246,0.21,,
247,0.212,,
248,0.21,,
249,0.207,,
250,0.203,,
251,0.2,,
252,0.202,,
253,0.199,,
254,0.197,,
255,0.194,,
256,0.194,,
257,0.194,,
258,0.193,,
259,0.192,,
260,0.191,,
261,0.189,,
262,0.186,,
263,0.184,,
264,0.181,,
265,0.18,,
266,0.179,,
267,0.179,,
268,0.177,,
269,0.174,,
270,0.173,,
271,0.173,,
272,0.171,,
273,0.168,,
274,0.166,,
275,0.164,,
276,0.163,,
277,0.161,,
278,0.158,,
279,0.156,,
280,0.154,,
281,0.153,,
282,0.15,,
283,0.148,,
284,0.146,,
285,0.144,,
286,0.142,,
287,0.139,,
288,0.137,,
289,0.135,,
290,0.133,,
291,0.131,,
292,0.129,,
293,0.127,,
294,0.125,,
295,0.125,,
296,0.123,,
297,0.122,,
298,0.119,,
299,0.116,,
300,0.114,,
301,0.113,,
302,0.112,,
303,0.111,,
304,0.109,,
305,0.107,,
306,0.105,,
307,0.104,,
308,0.103,,
309,0.101,,
310,0.1,,
311,0.098,,
312,0.097,,
313,0.096,,
314,0.095,,
315,0.095,,
316,0.093,,
317,0.092,,
318,0.09,,
319,0.088,,
320,0.087,,
321,0.086,,
322,0.085,,
323,0.084,,
324,0.082,,
325,0.081,,
326,0.079,,
327,0.079,,
328,0.078,,
329,0.078,,
330,0.076,,
331,0.076,,
332,0.074,,
333,0.073,,
334,0.072,,
335,0.071,,
336,0.071,,
337,0.07,,
338,0.069,,
339,0.068,,
340,0.068,,
341,0.067,,
342,0.066,,
343,0.064,,
344,0.063,,
345,0.063,,
346,0.062,,
347,0.062,,
348,0.06,,
349,0.059,,
350,0.058,,
351,0.058,,
352,0.058,,
353,0.058,,
354,0.057,,
355,0.056,,
356,0.055,,
357,0.054,,
358,0.053,,
359,0.053,,
360,0.052,,
361,0.052,,
362,0.052,,
363,0.05,,
364,0.049,,
365,0.048,,
366,0.049,,
367,0.048,,
368,0.047,,
369,0.046,,
370,0.046,,
371,0.045,,
372,0.044,,
373,0.044,,
374,0.044,,
375,0.042,,
376,0.041,,
377,0.041,,
378,0.041,,
379,0.041,,
380,0.041,,
381,0.041,,
382,0.04,,
383,0.04,,
384,0.037,,
385,0.036,,
386,0.036,,
387,0.036,,
388,0.036,,
389,0.035,,
390,0.034,,
391,0.035,,
392,0.035,,
393,0.036,,
394,0.036,,
395,0.035,,
396,0.033,,
397,0.03,,
398,0.03,,
399,0.03,,
400,0.03,,
401,0.029,,
402,0.029,,
403,0.029,,
404,0.03,,
405,0.03,,
406,0.029,,
407,0.029,,
408,0.028,,
409,0.029,,
410,0.028,,
411,0.027,,
412,0.027,,
413,0.026,,
414,0.027,,
415,0.027,,
416,0.026,,
417,0.025,,
418,0.025,,
419,0.024,,
420,0.024,,
421,0.024,,
422,0.024,,
423,0.023,,
424,0.022,,
425,0.022,,
426,0.022,,
427,0.022,,
428,0.022,,
429,0.022,,
430,0.021,,
431,0.021,,
432,0.021,,
433,0.021,,
434,0.021,,
435,0.021,,
436,0.021,,
437,0.02,,
438,0.019,,
439,0.019,,
440,0.019,,
441,0.019,,
442,0.019,,
443,0.019,,
444,0.018,,
445,0.017,,
446,0.017,,
447,0.017,,
448,0.017,,
449,0.017,,
450,0.017,,
451,0.017,,
452,0.017,,
453,0.016,,
454,0.016,,
455,0.016,,
456,0.016,,
457,0.016,,
458,0.016,,
459,0.015,,
460,0.015,,
461,0.016,,
462,0.016,,
463,0.016,,
464,0.015,,
465,0.015,,
466,0.015,,
467,0.015,,
468,0.014,,
469,0.014,,
470,0.013,,
471,0.013,,
472,0.013,,
473,0.014,,
474,0.014,,
475,0.013,,
476,0.013,,
477,0.013,,
478,0.013,,
479,0.013,,
480,0.013,,
481,0.012,,
482,0.012,,
483,0.012,,
484,0.013,,
485,0.013,,
486,0.012,,
487,0.012,,
488,0.012,,
489,0.012,,
490,0.012,,
491,0.012,,
492,0.011,,
493,0.011,,
494,0.011,,
495,0.011,,
496,0.01,,
497,0.011,,
498,0.011,,
499,0.012,,
500,0.011,,
501,0.011,,
502,0.011,,
503,0.011,,
504,0.012,,
505,0.011,,
506,0.009,,
507,0.008,,
508,0.009,,
509,0.011,,
510,0.012,,
511,0.011,,
512,0.011,,
513,0.01,,
514,0.01,,
515,0.01,,
516,0.009,,
517,0.008,,
518,0.009,,
519,0.01,,
520,0.01,,
521,0.009,,
522,0.008,,
523,0.008,,
524,0.008,,
525,0.008,,
526,0.008,,
527,0.008,,
528,0.008,,
529,0.008,,
530,0.007,,
531,0.007,,
532,0.007,,
533,0.008,,
534,0.008,,
535,0.008,,
536,0.008,,
537,0.008,,
538,0.008,,
539,0.007,,
540,0.007,,
541,0.006,,
542,0.007,,
543,0.007,,
544,0.007,,
545,0.007,,
546,0.006,,
547,0.006,,
548,0.006,,
549,0.006,,
550,0.006,,
551,0.007,,
552,0.007,,
553,0.006,,
554,0.005,,
555,0.005,,
556,0.006,,
557,0.006,,
558,0.007,,
559,0.005,,
560,0.005,,
561,0.006,,
562,0.007,,
563,0.006,,
564,0.005,,
565,0.004,,
566,0.005,,
567,0.007,,
568,0.007,,
569,0.006,,
570,0.006,,
571,0.006,,
572,0.006,,
573,0.005,,
574,0.005,,
575,0.006,,
576,0.005,,
577,0.005,,
578,0.005,,
579,0.005,,
580,0.004,,
581,0.003,,
582,0.004,,
583,0.004,,
584,0.004,,
585,0.005,,
586,0.004,,
587,0.004,,
588,0.004,,
589,0.004,,
590,0.005,,
591,0.006,,
592,0.005,,
593,0.004,,
594,0.004,,
595,0.004,,
596,0.003,,
597,0.003,,
598,0.004,,
599,0.003,,
600,0.004,,
601,0.006,,
602,0.006,,
603,0.004,,
604,0.003,,
605,0.004,,
606,0.005,,
607,0.005,,
608,0.004,,
609,0.004,,
610,0.003,,
611,0.004,,
612,0.004,,
613,0.003,,
614,0.003,,
615,0.005,,
616,0.005,,
617,0.005,,
618,0.004,,
619,0.002,,
620,0.002,,
621,0.002,,
622,0.003,,
623,0.004,,
624,0.004,,
625,0.004,,
626,0.002,,
627,0.003,,
628,0.003,,
629,0.002,,
630,0.001,,
631,0.002,,
632,0.003,,
633,0.004,,
634,0.004,,
635,0.003,,
636,0.003,,
637,0.003,,
638,0.003,,
639,0.002,,
640,0.002,,
641,0.002,,
642,0.003,,
643,0.003,,
644,0.003,,
645,0.002,,
646,0.003,,
647,0.003,,
648,0.003,,
649,0.003,,
650,0.002,,
651,0.002,,
652,0.001,,
653,0.001,,
654,0.001,,
655,0.001,,
656,0.001,,
657,0.002,,
658,0.002,,
659,0.001,,
660,0.001,,
661,0.002,,
662,0.002,,
663,0.002,,
664,0.002,,
665,0.002,,
666,0.002,,
667,0.002,,
668,0.002,,
669,0.003,,
670,0.002,,
671,0.002,,
672,0,,
673,0.002,,
674,0.001,,
675,0.001,,
676,0.002,,
677,0.003,,
678,0.003,,
679,0.001,,
680,0.001,,
681,0.001,,
682,0.001,,
683,0.001,,
684,0.001,,
685,0.001,,
686,0.001,,
687,0,,
688,0,,
689,0.002,,
690,0.002,,
691,0.001,,
692,0.001,,
693,0.001,,
694,0.001,,
695,0,,
696,0,,
697,0.002,,
698,0.001,,
699,-0.001,,
700,-0.001,,
701,-0.002,,
702,-0.002,,
703,-0.001,,
704,0.001,,
705,0.001,,
706,0.001,,
707,0.001,,
708,0.001,,
709,0,,
710,0.001,,
711,0.001,,
712,0,,
713,0,,
714,0.001,,
715,0.001,,
716,0,,
717,0,,
718,0.001,,
719,0.001,,
720,0,,
721,0,,
722,0.002,,
723,0.002,,
724,0.001,,
725,0.001,,
726,0.002,,
727,0.001,,
728,0,,
729,0,,
730,0,,
731,-0.003,,
732,-0.002,,
733,-0.001,,
734,-0.001,,
735,-0.001,,
736,-0.002,,
737,-0.003,,
738,-0.001,,
739,0.002,,
740,0.001,,
741,-0.001,,
742,-0.001,,
743,0.001,,
744,0.001,,
745,0.001,,
746,0.002,,
747,0.004,,
748,0.004,,
749,0.001,,
750,0,,
