Wavelength (nm),Absorbance,Title,Time
190,0.066,5LS_01oct2015,10/8/2015 11:15:00 AM
191,-0.294,,
192,-0.118,,
193,-0.086,,
194,0.04,,
195,-0.308,,
196,-0.575,,
197,-0.49,,
198,-0.235,,
199,0.045,,
200,0.253,,
201,0.328,,
202,0.1,,
203,-0.121,,
204,-0.687,,
205,-0.774,,
206,-0.282,,
207,-0.207,,
208,0.107,,
209,0.016,,
210,-0.016,,
211,0.303,,
212,0.005,,
213,0.241,,
214,0.219,,
215,0.189,,
216,0.179,,
217,0.072,,
218,0.225,,
219,0.284,,
220,0.303,,
221,0.26,,
222,0.259,,
223,0.276,,
224,0.283,,
225,0.28,,
226,0.276,,
227,0.278,,
228,0.285,,
229,0.288,,
230,0.287,,
231,0.28,,
232,0.272,,
233,0.264,,
234,0.26,,
235,0.259,,
236,0.256,,
237,0.251,,
238,0.247,,
239,0.245,,
240,0.244,,
241,0.245,,
242,0.245,,
243,0.242,,
244,0.236,,
245,0.234,,
246,0.238,,
247,0.24,,
248,0.238,,
249,0.233,,
250,0.229,,
251,0.227,,
252,0.228,,
253,0.226,,
254,0.222,,
255,0.219,,
256,0.218,,
257,0.22,,
258,0.221,,
259,0.221,,
260,0.22,,
261,0.217,,
262,0.213,,
263,0.21,,
264,0.209,,
265,0.209,,
266,0.207,,
267,0.205,,
268,0.202,,
269,0.2,,
270,0.201,,
271,0.199,,
272,0.197,,
273,0.194,,
274,0.192,,
275,0.19,,
276,0.188,,
277,0.186,,
278,0.183,,
279,0.18,,
280,0.178,,
281,0.176,,
282,0.174,,
283,0.171,,
284,0.168,,
285,0.165,,
286,0.162,,
287,0.16,,
288,0.158,,
289,0.155,,
290,0.153,,
291,0.152,,
292,0.151,,
293,0.149,,
294,0.146,,
295,0.143,,
296,0.14,,
297,0.139,,
298,0.137,,
299,0.134,,
300,0.132,,
301,0.13,,
302,0.129,,
303,0.128,,
304,0.126,,
305,0.125,,
306,0.123,,
307,0.121,,
308,0.119,,
309,0.119,,
310,0.118,,
311,0.116,,
312,0.113,,
313,0.111,,
314,0.111,,
315,0.109,,
316,0.108,,
317,0.107,,
318,0.106,,
319,0.105,,
320,0.103,,
321,0.101,,
322,0.099,,
323,0.1,,
324,0.1,,
325,0.098,,
326,0.097,,
327,0.094,,
328,0.093,,
329,0.093,,
330,0.091,,
331,0.089,,
332,0.088,,
333,0.087,,
334,0.086,,
335,0.085,,
336,0.085,,
337,0.085,,
338,0.085,,
339,0.083,,
340,0.081,,
341,0.08,,
342,0.08,,
343,0.079,,
344,0.078,,
345,0.078,,
346,0.076,,
347,0.075,,
348,0.073,,
349,0.073,,
350,0.072,,
351,0.071,,
352,0.071,,
353,0.07,,
354,0.07,,
355,0.069,,
356,0.069,,
357,0.069,,
358,0.067,,
359,0.067,,
360,0.066,,
361,0.065,,
362,0.065,,
363,0.064,,
364,0.062,,
365,0.061,,
366,0.06,,
367,0.059,,
368,0.059,,
369,0.058,,
370,0.058,,
371,0.058,,
372,0.057,,
373,0.056,,
374,0.055,,
375,0.054,,
376,0.053,,
377,0.052,,
378,0.051,,
379,0.051,,
380,0.051,,
381,0.05,,
382,0.049,,
383,0.047,,
384,0.046,,
385,0.046,,
386,0.046,,
387,0.046,,
388,0.045,,
389,0.043,,
390,0.044,,
391,0.045,,
392,0.046,,
393,0.046,,
394,0.045,,
395,0.043,,
396,0.041,,
397,0.039,,
398,0.038,,
399,0.038,,
400,0.037,,
401,0.036,,
402,0.037,,
403,0.038,,
404,0.039,,
405,0.039,,
406,0.037,,
407,0.037,,
408,0.037,,
409,0.036,,
410,0.035,,
411,0.035,,
412,0.034,,
413,0.033,,
414,0.032,,
415,0.033,,
416,0.034,,
417,0.033,,
418,0.032,,
419,0.031,,
420,0.031,,
421,0.03,,
422,0.03,,
423,0.029,,
424,0.029,,
425,0.029,,
426,0.028,,
427,0.027,,
428,0.027,,
429,0.027,,
430,0.028,,
431,0.027,,
432,0.027,,
433,0.025,,
434,0.025,,
435,0.025,,
436,0.025,,
437,0.025,,
438,0.024,,
439,0.024,,
440,0.023,,
441,0.023,,
442,0.024,,
443,0.024,,
444,0.024,,
445,0.022,,
446,0.022,,
447,0.022,,
448,0.021,,
449,0.021,,
450,0.02,,
451,0.02,,
452,0.019,,
453,0.019,,
454,0.019,,
455,0.019,,
456,0.019,,
457,0.018,,
458,0.018,,
459,0.018,,
460,0.018,,
461,0.018,,
462,0.017,,
463,0.016,,
464,0.016,,
465,0.017,,
466,0.017,,
467,0.016,,
468,0.015,,
469,0.014,,
470,0.014,,
471,0.014,,
472,0.015,,
473,0.016,,
474,0.016,,
475,0.015,,
476,0.014,,
477,0.013,,
478,0.014,,
479,0.013,,
480,0.013,,
481,0.013,,
482,0.013,,
483,0.014,,
484,0.015,,
485,0.015,,
486,0.015,,
487,0.014,,
488,0.014,,
489,0.014,,
490,0.014,,
491,0.013,,
492,0.013,,
493,0.012,,
494,0.011,,
495,0.011,,
496,0.011,,
497,0.011,,
498,0.012,,
499,0.012,,
500,0.012,,
501,0.011,,
502,0.01,,
503,0.011,,
504,0.012,,
505,0.012,,
506,0.011,,
507,0.01,,
508,0.009,,
509,0.009,,
510,0.009,,
511,0.01,,
512,0.011,,
513,0.011,,
514,0.009,,
515,0.009,,
516,0.01,,
517,0.01,,
518,0.009,,
519,0.009,,
520,0.009,,
521,0.008,,
522,0.008,,
523,0.008,,
524,0.008,,
525,0.008,,
526,0.008,,
527,0.008,,
528,0.008,,
529,0.008,,
530,0.009,,
531,0.008,,
532,0.008,,
533,0.008,,
534,0.008,,
535,0.008,,
536,0.007,,
537,0.007,,
538,0.007,,
539,0.007,,
540,0.006,,
541,0.006,,
542,0.007,,
543,0.008,,
544,0.008,,
545,0.007,,
546,0.006,,
547,0.006,,
548,0.006,,
549,0.006,,
550,0.006,,
551,0.006,,
552,0.006,,
553,0.005,,
554,0.006,,
555,0.005,,
556,0.004,,
557,0.005,,
558,0.006,,
559,0.006,,
560,0.005,,
561,0.005,,
562,0.005,,
563,0.005,,
564,0.005,,
565,0.005,,
566,0.005,,
567,0.005,,
568,0.004,,
569,0.004,,
570,0.003,,
571,0.003,,
572,0.004,,
573,0.004,,
574,0.004,,
575,0.004,,
576,0.004,,
577,0.004,,
578,0.005,,
579,0.005,,
580,0.004,,
581,0.004,,
582,0.003,,
583,0.003,,
584,0.002,,
585,0.003,,
586,0.003,,
587,0.004,,
588,0.003,,
589,0.001,,
590,0.001,,
591,0.003,,
592,0.003,,
593,0.002,,
594,0,,
595,-0.001,,
596,0,,
597,0.001,,
598,0.003,,
599,0.003,,
600,0.001,,
601,0.002,,
602,0.002,,
603,0.003,,
604,0.004,,
605,0.003,,
606,0.002,,
607,0.003,,
608,0.002,,
609,0.001,,
610,0.002,,
611,0.004,,
612,0.003,,
613,0.002,,
614,0,,
615,-0.001,,
