Wavelength (nm),Absorbance,Title,Time
190,0.22,7LS_24sept2015,10/15/2015 10:36:56 AM
191,0.075,,
192,-0.293,,
193,-0.34,,
194,-0.346,,
195,0.007,,
196,0.16,,
197,0.109,,
198,0.252,,
199,-0.101,,
200,-0.293,,
201,-0.351,,
202,-0.45,,
203,-0.423,,
204,-0.093,,
205,-0.333,,
206,-0.397,,
207,-0.211,,
208,0.137,,
209,0.551,,
210,0.509,,
211,0.178,,
212,-0.15,,
213,-0.05,,
214,0.078,,
215,0.472,,
216,0.416,,
217,0.129,,
218,0.114,,
219,0.121,,
220,0.226,,
221,0.247,,
222,0.242,,
223,0.241,,
224,0.245,,
225,0.251,,
226,0.25,,
227,0.25,,
228,0.252,,
229,0.253,,
230,0.249,,
231,0.243,,
232,0.235,,
233,0.229,,
234,0.227,,
235,0.223,,
236,0.22,,
237,0.214,,
238,0.21,,
239,0.206,,
240,0.202,,
241,0.201,,
242,0.202,,
243,0.201,,
244,0.199,,
245,0.197,,
246,0.196,,
247,0.196,,
248,0.194,,
249,0.192,,
250,0.19,,
251,0.188,,
252,0.186,,
253,0.182,,
254,0.18,,
255,0.179,,
256,0.177,,
257,0.176,,
258,0.176,,
259,0.177,,
260,0.176,,
261,0.174,,
262,0.172,,
263,0.169,,
264,0.167,,
265,0.165,,
266,0.164,,
267,0.163,,
268,0.162,,
269,0.16,,
270,0.16,,
271,0.159,,
272,0.157,,
273,0.155,,
274,0.154,,
275,0.153,,
276,0.15,,
277,0.148,,
278,0.146,,
279,0.145,,
280,0.144,,
281,0.142,,
282,0.139,,
283,0.137,,
284,0.135,,
285,0.133,,
286,0.131,,
287,0.13,,
288,0.128,,
289,0.126,,
290,0.123,,
291,0.121,,
292,0.12,,
293,0.119,,
294,0.118,,
295,0.116,,
296,0.113,,
297,0.112,,
298,0.111,,
299,0.109,,
300,0.107,,
301,0.105,,
302,0.104,,
303,0.102,,
304,0.102,,
305,0.101,,
306,0.099,,
307,0.097,,
308,0.095,,
309,0.094,,
310,0.093,,
311,0.091,,
312,0.09,,
313,0.09,,
314,0.089,,
315,0.087,,
316,0.085,,
317,0.084,,
318,0.083,,
319,0.081,,
320,0.08,,
321,0.079,,
322,0.078,,
323,0.078,,
324,0.077,,
325,0.075,,
326,0.074,,
