Wavelength (nm),Absorbance,Title,Time
190,0.336,11S_24sept2015,10/15/2015 10:34:13 AM
191,0.286,,
192,-0.09,,
193,-0.202,,
194,-0.369,,
195,-0.244,,
196,0.06,,
197,0.177,,
198,0.271,,
199,-0.237,,
200,-0.693,,
201,-0.655,,
202,-0.453,,
203,-0.149,,
204,0.1,,
205,-0.017,,
206,-0.087,,
207,-0.184,,
208,-0.114,,
209,0.189,,
210,0.185,,
211,-0.122,,
212,-0.356,,
213,-0.289,,
214,-0.087,,
215,0.154,,
216,0.105,,
217,0.072,,
218,0.087,,
219,0.091,,
220,0.202,,
221,0.168,,
222,0.181,,
223,0.18,,
224,0.18,,
225,0.187,,
226,0.188,,
227,0.19,,
228,0.191,,
229,0.192,,
230,0.19,,
231,0.186,,
232,0.18,,
233,0.177,,
234,0.177,,
235,0.174,,
236,0.174,,
237,0.17,,
238,0.165,,
239,0.163,,
240,0.159,,
241,0.159,,
242,0.158,,
243,0.156,,
244,0.155,,
245,0.155,,
246,0.156,,
247,0.157,,
248,0.154,,
249,0.152,,
250,0.151,,
251,0.15,,
252,0.149,,
253,0.145,,
254,0.142,,
255,0.141,,
256,0.141,,
257,0.141,,
258,0.142,,
259,0.143,,
260,0.143,,
261,0.142,,
262,0.139,,
263,0.137,,
264,0.136,,
265,0.134,,
266,0.133,,
267,0.13,,
268,0.129,,
269,0.128,,
270,0.127,,
271,0.127,,
272,0.125,,
273,0.124,,
274,0.122,,
275,0.121,,
276,0.119,,
277,0.117,,
278,0.114,,
279,0.113,,
280,0.111,,
281,0.109,,
282,0.108,,
283,0.106,,
284,0.104,,
285,0.103,,
286,0.1,,
287,0.099,,
288,0.098,,
289,0.097,,
290,0.095,,
291,0.092,,
292,0.091,,
293,0.091,,
294,0.09,,
295,0.088,,
296,0.087,,
297,0.086,,
298,0.085,,
299,0.083,,
300,0.08,,
301,0.079,,
302,0.078,,
303,0.077,,
304,0.078,,
305,0.077,,
306,0.075,,
307,0.073,,
308,0.072,,
309,0.072,,
310,0.071,,
311,0.069,,
312,0.067,,
313,0.066,,
314,0.066,,
315,0.065,,
316,0.064,,
317,0.063,,
318,0.062,,
319,0.06,,
320,0.059,,
321,0.059,,
322,0.059,,
323,0.059,,
324,0.058,,
325,0.056,,
326,0.056,,
327,0.055,,
328,0.054,,
329,0.053,,
330,0.052,,
331,0.051,,
332,0.051,,
333,0.05,,
334,0.05,,
335,0.049,,
336,0.048,,
337,0.047,,
338,0.046,,
339,0.046,,
340,0.047,,
341,0.046,,
342,0.045,,
343,0.044,,
344,0.043,,
345,0.043,,
346,0.042,,
347,0.042,,
348,0.041,,
349,0.041,,
350,0.04,,
351,0.039,,
352,0.038,,
353,0.037,,
354,0.038,,
355,0.037,,
356,0.037,,
357,0.037,,
358,0.036,,
359,0.036,,
360,0.035,,
361,0.035,,
362,0.034,,
363,0.034,,
364,0.033,,
365,0.032,,
366,0.032,,
367,0.031,,
368,0.031,,
369,0.03,,
370,0.029,,
371,0.03,,
372,0.029,,
373,0.029,,
374,0.029,,
375,0.028,,
376,0.028,,
377,0.027,,
378,0.026,,
379,0.026,,
380,0.025,,
381,0.026,,
382,0.025,,
383,0.025,,
384,0.024,,
385,0.023,,
386,0.024,,
387,0.024,,
388,0.024,,
389,0.022,,
390,0.021,,
391,0.022,,
392,0.022,,
393,0.022,,
394,0.021,,
395,0.021,,
396,0.02,,
397,0.02,,
398,0.019,,
399,0.018,,
400,0.017,,
401,0.017,,
402,0.017,,
403,0.018,,
404,0.018,,
405,0.018,,
406,0.018,,
407,0.018,,
408,0.016,,
409,0.016,,
410,0.016,,
411,0.016,,
412,0.016,,
413,0.014,,
414,0.015,,
415,0.016,,
416,0.016,,
417,0.016,,
418,0.015,,
419,0.015,,
420,0.015,,
421,0.014,,
422,0.014,,
423,0.014,,
424,0.013,,
425,0.013,,
426,0.013,,
427,0.013,,
428,0.013,,
429,0.013,,
430,0.013,,
431,0.013,,
432,0.013,,
433,0.012,,
434,0.012,,
435,0.011,,
436,0.011,,
437,0.011,,
438,0.012,,
439,0.011,,
440,0.011,,
441,0.011,,
442,0.01,,
443,0.01,,
444,0.01,,
445,0.011,,
446,0.011,,
447,0.01,,
448,0.01,,
449,0.01,,
450,0.01,,
451,0.01,,
452,0.01,,
453,0.01,,
454,0.009,,
455,0.008,,
456,0.009,,
457,0.009,,
458,0.009,,
459,0.008,,
460,0.008,,
461,0.009,,
462,0.008,,
463,0.008,,
464,0.007,,
465,0.007,,
466,0.007,,
467,0.008,,
468,0.007,,
469,0.007,,
470,0.007,,
471,0.007,,
472,0.008,,
473,0.006,,
474,0.006,,
475,0.006,,
476,0.006,,
477,0.006,,
478,0.006,,
479,0.007,,
480,0.006,,
481,0.006,,
482,0.006,,
483,0.006,,
484,0.007,,
485,0.007,,
486,0.007,,
487,0.006,,
488,0.006,,
489,0.006,,
490,0.006,,
491,0.005,,
492,0.005,,
493,0.005,,
494,0.006,,
495,0.005,,
496,0.005,,
497,0.004,,
498,0.005,,
499,0.006,,
500,0.005,,
501,0.004,,
502,0.004,,
503,0.005,,
504,0.005,,
505,0.004,,
506,0.004,,
507,0.005,,
508,0.005,,
509,0.005,,
510,0.004,,
511,0.003,,
512,0.004,,
513,0.005,,
514,0.005,,
515,0.004,,
516,0.003,,
517,0.004,,
518,0.004,,
519,0.004,,
520,0.004,,
521,0.003,,
522,0.002,,
523,0.002,,
524,0.003,,
525,0.004,,
526,0.004,,
527,0.004,,
528,0.004,,
529,0.005,,
530,0.005,,
531,0.005,,
532,0.004,,
533,0.004,,
534,0.004,,
535,0.004,,
536,0.004,,
537,0.004,,
538,0.004,,
539,0.003,,
540,0.003,,
541,0.003,,
542,0.003,,
543,0.003,,
544,0.003,,
545,0.003,,
546,0.003,,
547,0.002,,
548,0.003,,
549,0.004,,
550,0.003,,
551,0.002,,
552,0.002,,
553,0.002,,
554,0.003,,
555,0.002,,
556,0.002,,
557,0.003,,
558,0.003,,
559,0.003,,
560,0.002,,
561,0.002,,
562,0.002,,
563,0.003,,
564,0.003,,
565,0.002,,
566,0.001,,
567,0,,
568,0,,
569,0,,
570,0.001,,
571,0.003,,
572,0.003,,
573,0.002,,
574,0.002,,
575,0.001,,
576,0.002,,
577,0.001,,
578,0.001,,
579,0.002,,
580,0.002,,
581,0.002,,
582,0.001,,
583,0.001,,
584,0.002,,
585,0.002,,
586,0.002,,
587,0.002,,
588,0.003,,
589,0.003,,
590,0.002,,
591,0.003,,
592,0.002,,
593,0.002,,
594,0.002,,
595,0.001,,
596,0.002,,
597,0.002,,
598,0.001,,
599,0.001,,
600,0,,
601,0.001,,
602,0.002,,
603,0.001,,
604,0.002,,
605,0.002,,
606,0.003,,
607,0.002,,
608,0.003,,
609,0.003,,
610,0.001,,
611,0.001,,
