Wavelength (nm),Absorbance,Title,Time
190,0.32,6LS_24sept2015,10/15/2015 10:33:39 AM
191,0.21,,
192,-0.206,,
193,-0.484,,
194,-0.615,,
195,-0.297,,
196,0.297,,
197,0.608,,
198,0.429,,
199,-0.293,,
200,-0.73,,
201,-0.801,,
202,-0.65,,
203,-0.387,,
204,-0.132,,
205,-0.183,,
206,-0.337,,
207,-0.198,,
208,0.123,,
209,0.376,,
210,0.365,,
211,0.107,,
212,-0.105,,
213,-0.15,,
214,-0.194,,
215,-0.054,,
216,0.039,,
217,-0.006,,
218,0.091,,
219,0.132,,
220,0.238,,
221,0.236,,
222,0.246,,
223,0.227,,
224,0.243,,
225,0.253,,
226,0.256,,
227,0.256,,
228,0.256,,
229,0.253,,
230,0.248,,
231,0.241,,
232,0.236,,
233,0.234,,
234,0.23,,
235,0.224,,
236,0.219,,
237,0.215,,
238,0.215,,
239,0.213,,
240,0.208,,
241,0.207,,
242,0.207,,
243,0.205,,
244,0.203,,
245,0.199,,
246,0.199,,
247,0.199,,
248,0.197,,
249,0.195,,
250,0.192,,
251,0.191,,
252,0.189,,
253,0.185,,
254,0.182,,
255,0.18,,
256,0.18,,
257,0.18,,
258,0.18,,
259,0.181,,
260,0.181,,
261,0.178,,
262,0.175,,
263,0.171,,
264,0.169,,
265,0.168,,
266,0.168,,
267,0.167,,
268,0.166,,
269,0.164,,
270,0.164,,
271,0.162,,
272,0.16,,
273,0.157,,
274,0.156,,
275,0.155,,
276,0.153,,
277,0.15,,
278,0.148,,
279,0.147,,
280,0.145,,
281,0.144,,
282,0.141,,
283,0.139,,
284,0.137,,
285,0.136,,
286,0.134,,
287,0.132,,
288,0.13,,
289,0.129,,
290,0.126,,
291,0.123,,
292,0.122,,
293,0.122,,
294,0.12,,
295,0.118,,
296,0.117,,
297,0.116,,
298,0.114,,
299,0.111,,
300,0.109,,
301,0.107,,
302,0.106,,
303,0.105,,
304,0.105,,
305,0.104,,
306,0.101,,
307,0.099,,
308,0.098,,
309,0.098,,
310,0.097,,
311,0.095,,
312,0.093,,
313,0.092,,
314,0.091,,
315,0.091,,
316,0.089,,
317,0.087,,
318,0.086,,
319,0.084,,
320,0.083,,
321,0.082,,
322,0.082,,
323,0.082,,
324,0.08,,
325,0.077,,
326,0.077,,
327,0.077,,
328,0.076,,
329,0.075,,
330,0.073,,
331,0.072,,
332,0.071,,
333,0.07,,
334,0.07,,
335,0.069,,
336,0.068,,
337,0.067,,
338,0.067,,
339,0.066,,
340,0.066,,
341,0.064,,
342,0.063,,
343,0.062,,
344,0.062,,
345,0.061,,
346,0.061,,
347,0.06,,
348,0.059,,
349,0.059,,
350,0.057,,
351,0.057,,
352,0.056,,
353,0.054,,
354,0.054,,
355,0.053,,
356,0.053,,
357,0.053,,
358,0.053,,
359,0.052,,
360,0.05,,
361,0.051,,
362,0.051,,
363,0.05,,
364,0.048,,
365,0.047,,
366,0.048,,
367,0.046,,
368,0.046,,
369,0.045,,
370,0.045,,
371,0.045,,
372,0.044,,
373,0.044,,
374,0.044,,
375,0.043,,
376,0.042,,
377,0.041,,
378,0.039,,
379,0.039,,
380,0.039,,
381,0.038,,
382,0.037,,
383,0.037,,
384,0.037,,
385,0.035,,
386,0.035,,
387,0.035,,
388,0.035,,
389,0.034,,
390,0.034,,
391,0.035,,
392,0.035,,
393,0.034,,
394,0.034,,
395,0.033,,
396,0.031,,
397,0.03,,
398,0.03,,
399,0.029,,
400,0.028,,
401,0.027,,
402,0.028,,
403,0.029,,
404,0.029,,
405,0.029,,
406,0.029,,
407,0.029,,
408,0.028,,
409,0.027,,
410,0.027,,
411,0.027,,
412,0.026,,
413,0.025,,
414,0.025,,
415,0.026,,
416,0.026,,
417,0.025,,
418,0.025,,
419,0.024,,
420,0.024,,
421,0.023,,
422,0.022,,
423,0.022,,
424,0.022,,
425,0.022,,
426,0.021,,
427,0.021,,
428,0.021,,
429,0.021,,
430,0.022,,
431,0.022,,
432,0.021,,
433,0.02,,
434,0.02,,
435,0.019,,
436,0.02,,
437,0.02,,
438,0.02,,
439,0.019,,
440,0.019,,
441,0.018,,
442,0.017,,
443,0.017,,
444,0.018,,
445,0.019,,
446,0.018,,
447,0.017,,
448,0.016,,
449,0.017,,
450,0.017,,
451,0.017,,
452,0.017,,
453,0.016,,
454,0.016,,
455,0.015,,
456,0.016,,
457,0.016,,
458,0.015,,
459,0.015,,
460,0.014,,
461,0.015,,
462,0.014,,
463,0.014,,
464,0.014,,
465,0.014,,
466,0.014,,
467,0.014,,
468,0.014,,
469,0.013,,
470,0.012,,
471,0.011,,
472,0.012,,
473,0.012,,
474,0.012,,
475,0.012,,
476,0.012,,
477,0.012,,
478,0.011,,
479,0.012,,
480,0.012,,
481,0.011,,
482,0.011,,
483,0.012,,
484,0.012,,
485,0.012,,
486,0.011,,
487,0.012,,
488,0.012,,
