Wavelength (nm),Absorbance,Title,Time
190,0.153,10LS_8oct2015,10/8/2015 10:48:55 AM
191,-0.129,,
192,-0.209,,
193,-0.038,,
194,0.089,,
195,0.463,,
196,0.514,,
197,0.453,,
198,0.3,,
199,0.11,,
200,0.071,,
201,-0.028,,
202,-0.248,,
203,-0.4,,
204,-0.313,,
205,-0.27,,
206,-0.466,,
207,-0.42,,
208,-0.513,,
209,-0.342,,
210,-0.185,,
211,-0.128,,
212,0.156,,
213,0.012,,
214,-0.092,,
215,-0.124,,
216,-0.096,,
217,0.109,,
218,0.126,,
219,0.157,,
220,0.218,,
221,0.191,,
222,0.168,,
223,0.149,,
224,0.156,,
225,0.172,,
226,0.186,,
227,0.188,,
228,0.183,,
229,0.179,,
230,0.174,,
231,0.17,,
232,0.166,,
233,0.164,,
234,0.163,,
235,0.162,,
236,0.159,,
237,0.156,,
238,0.152,,
239,0.151,,
240,0.151,,
241,0.151,,
242,0.15,,
243,0.147,,
244,0.144,,
245,0.143,,
246,0.145,,
247,0.146,,
248,0.146,,
249,0.144,,
250,0.142,,
251,0.14,,
252,0.14,,
253,0.139,,
254,0.138,,
255,0.137,,
256,0.137,,
257,0.137,,
258,0.137,,
259,0.136,,
260,0.136,,
261,0.133,,
262,0.131,,
263,0.13,,
264,0.127,,
265,0.126,,
266,0.126,,
267,0.126,,
268,0.126,,
269,0.123,,
270,0.121,,
271,0.121,,
272,0.119,,
273,0.118,,
274,0.116,,
275,0.115,,
276,0.115,,
277,0.114,,
278,0.113,,
279,0.111,,
280,0.11,,
281,0.109,,
282,0.107,,
283,0.105,,
284,0.103,,
285,0.102,,
286,0.1,,
287,0.099,,
288,0.099,,
289,0.098,,
290,0.096,,
291,0.094,,
292,0.092,,
293,0.091,,
294,0.091,,
295,0.09,,
296,0.091,,
297,0.09,,
298,0.089,,
299,0.086,,
300,0.084,,
301,0.083,,
302,0.082,,
303,0.081,,
304,0.08,,
305,0.079,,
306,0.078,,
307,0.077,,
308,0.077,,
309,0.077,,
310,0.076,,
311,0.073,,
312,0.072,,
313,0.071,,
314,0.07,,
315,0.07,,
316,0.068,,
317,0.067,,
318,0.067,,
319,0.067,,
320,0.066,,
321,0.065,,
322,0.064,,
323,0.064,,
324,0.063,,
325,0.061,,
326,0.061,,
327,0.061,,
328,0.061,,
329,0.06,,
330,0.058,,
331,0.057,,
332,0.056,,
333,0.055,,
334,0.054,,
335,0.053,,
336,0.053,,
337,0.052,,
338,0.053,,
339,0.052,,
340,0.05,,
341,0.05,,
342,0.049,,
343,0.049,,
344,0.049,,
345,0.048,,
346,0.048,,
347,0.047,,
348,0.047,,
349,0.046,,
350,0.045,,
351,0.045,,
352,0.044,,
353,0.044,,
354,0.043,,
355,0.042,,
356,0.041,,
357,0.041,,
358,0.041,,
359,0.041,,
360,0.04,,
361,0.04,,
362,0.04,,
363,0.038,,
364,0.037,,
365,0.036,,
366,0.037,,
367,0.038,,
368,0.036,,
369,0.036,,
370,0.035,,
371,0.035,,
372,0.034,,
373,0.034,,
374,0.034,,
375,0.034,,
376,0.034,,
377,0.032,,
378,0.031,,
379,0.03,,
380,0.029,,
381,0.03,,
382,0.029,,
383,0.029,,
384,0.028,,
385,0.028,,
386,0.029,,
387,0.03,,
388,0.03,,
389,0.029,,
390,0.028,,
391,0.028,,
392,0.028,,
393,0.028,,
394,0.027,,
395,0.026,,
396,0.024,,
397,0.024,,
398,0.023,,
399,0.023,,
400,0.022,,
401,0.022,,
402,0.024,,
403,0.025,,
404,0.024,,
405,0.023,,
406,0.024,,
407,0.024,,
408,0.025,,
409,0.024,,
410,0.023,,
411,0.022,,
412,0.022,,
413,0.021,,
414,0.021,,
415,0.021,,
416,0.021,,
417,0.021,,
418,0.02,,
419,0.02,,
420,0.019,,
421,0.019,,
422,0.018,,
423,0.017,,
424,0.017,,
425,0.017,,
426,0.018,,
427,0.017,,
428,0.016,,
429,0.016,,
430,0.016,,
431,0.016,,
432,0.017,,
433,0.017,,
434,0.017,,
435,0.016,,
436,0.016,,
437,0.016,,
438,0.016,,
439,0.016,,
440,0.015,,
441,0.015,,
442,0.015,,
443,0.015,,
444,0.015,,
445,0.014,,
446,0.014,,
447,0.014,,
448,0.014,,
449,0.014,,
450,0.013,,
451,0.012,,
452,0.012,,
453,0.012,,
454,0.012,,
455,0.012,,
456,0.013,,
457,0.013,,
458,0.012,,
459,0.011,,
460,0.011,,
461,0.012,,
462,0.013,,
463,0.013,,
464,0.011,,
465,0.01,,
466,0.01,,
467,0.011,,
468,0.011,,
469,0.011,,
470,0.01,,
471,0.009,,
472,0.01,,
473,0.011,,
474,0.011,,
475,0.01,,
476,0.01,,
477,0.01,,
478,0.009,,
479,0.009,,
480,0.008,,
481,0.008,,
482,0.009,,
483,0.009,,
484,0.01,,
485,0.01,,
486,0.009,,
487,0.008,,
488,0.008,,
489,0.008,,
490,0.009,,
491,0.008,,
492,0.008,,
493,0.008,,
494,0.008,,
495,0.008,,
496,0.009,,
497,0.009,,
498,0.01,,
499,0.01,,
500,0.009,,
501,0.008,,
502,0.007,,
503,0.007,,
504,0.007,,
505,0.008,,
506,0.008,,
507,0.007,,
508,0.007,,
509,0.007,,
510,0.008,,
511,0.007,,
512,0.007,,
513,0.007,,
514,0.008,,
515,0.007,,
516,0.006,,
517,0.005,,
518,0.006,,
519,0.006,,
520,0.007,,
521,0.007,,
522,0.006,,
523,0.006,,
524,0.007,,
525,0.007,,
526,0.006,,
527,0.005,,
528,0.005,,
529,0.005,,
530,0.005,,
531,0.005,,
532,0.006,,
533,0.006,,
534,0.006,,
535,0.006,,
536,0.006,,
537,0.005,,
538,0.004,,
539,0.005,,
540,0.005,,
541,0.006,,
542,0.006,,
543,0.005,,
544,0.004,,
545,0.004,,
546,0.003,,
547,0.003,,
548,0.004,,
549,0.004,,
550,0.005,,
551,0.004,,
552,0.004,,
553,0.005,,
554,0.004,,
555,0.005,,
556,0.005,,
557,0.004,,
558,0.003,,
559,0.002,,
560,0.003,,
561,0.005,,
562,0.006,,
563,0.004,,
564,0.003,,
565,0.002,,
566,0.003,,
567,0.003,,
568,0.003,,
569,0.003,,
570,0.003,,
571,0.003,,
572,0.002,,
573,0.002,,
574,0.001,,
575,0.001,,
576,0.001,,
577,0.001,,
