Wavelength (nm),Absorbance,Title,Time
190,-0.094,11S_01oct2015,10/8/2015 11:15:25 AM
191,-0.359,,
192,-0.351,,
193,-0.25,,
194,-0.073,,
195,-0.021,,
196,-0.045,,
197,-0.173,,
198,-0.169,,
199,-0.047,,
200,0.324,,
201,0.324,,
202,-0.087,,
203,-0.375,,
204,-0.822,,
205,-0.73,,
206,-0.599,,
207,-0.405,,
208,-0.09,,
209,-0.06,,
210,0.058,,
211,0.181,,
212,0.069,,
213,0.187,,
214,0.18,,
215,0.222,,
216,0.205,,
217,0.126,,
218,0.167,,
219,0.219,,
220,0.253,,
221,0.243,,
222,0.219,,
223,0.246,,
224,0.245,,
225,0.239,,
226,0.236,,
227,0.233,,
228,0.238,,
229,0.236,,
230,0.231,,
231,0.222,,
232,0.212,,
233,0.204,,
234,0.196,,
235,0.194,,
236,0.194,,
237,0.19,,
238,0.186,,
239,0.182,,
240,0.181,,
241,0.182,,
242,0.182,,
243,0.179,,
244,0.174,,
245,0.172,,
246,0.174,,
247,0.176,,
248,0.176,,
249,0.173,,
250,0.169,,
251,0.167,,
252,0.166,,
253,0.165,,
254,0.162,,
255,0.16,,
256,0.158,,
257,0.159,,
258,0.16,,
259,0.16,,
260,0.16,,
261,0.157,,
262,0.154,,
263,0.151,,
264,0.15,,
265,0.151,,
266,0.15,,
267,0.149,,
268,0.146,,
269,0.143,,
270,0.143,,
271,0.142,,
272,0.14,,
273,0.138,,
274,0.137,,
275,0.136,,
276,0.135,,
277,0.133,,
278,0.13,,
279,0.129,,
280,0.128,,
281,0.127,,
282,0.125,,
283,0.122,,
284,0.12,,
285,0.118,,
286,0.117,,
287,0.115,,
288,0.113,,
289,0.111,,
290,0.11,,
291,0.109,,
292,0.108,,
293,0.107,,
294,0.105,,
295,0.104,,
296,0.103,,
297,0.102,,
298,0.1,,
299,0.097,,
300,0.095,,
301,0.094,,
302,0.093,,
303,0.092,,
304,0.091,,
305,0.09,,
306,0.089,,
307,0.087,,
308,0.086,,
309,0.086,,
310,0.086,,
311,0.083,,
312,0.08,,
313,0.079,,
314,0.079,,
315,0.078,,
316,0.077,,
317,0.076,,
318,0.076,,
319,0.075,,
320,0.074,,
321,0.072,,
322,0.071,,
323,0.071,,
324,0.07,,
325,0.069,,
326,0.068,,
327,0.067,,
328,0.066,,
329,0.066,,
330,0.065,,
331,0.063,,
332,0.063,,
333,0.062,,
334,0.061,,
335,0.061,,
336,0.06,,
337,0.06,,
338,0.059,,
339,0.058,,
340,0.057,,
341,0.056,,
342,0.055,,
343,0.055,,
344,0.055,,
345,0.054,,
346,0.053,,
347,0.053,,
348,0.052,,
349,0.051,,
350,0.05,,
351,0.049,,
352,0.049,,
353,0.048,,
354,0.048,,
355,0.047,,
356,0.047,,
357,0.048,,
358,0.047,,
359,0.046,,
360,0.045,,
361,0.044,,
362,0.044,,
363,0.043,,
364,0.042,,
365,0.041,,
366,0.04,,
367,0.04,,
368,0.04,,
369,0.039,,
370,0.039,,
371,0.038,,
372,0.038,,
373,0.038,,
374,0.037,,
375,0.036,,
376,0.035,,
377,0.035,,
378,0.034,,
379,0.034,,
380,0.033,,
381,0.033,,
382,0.032,,
383,0.031,,
384,0.029,,
385,0.029,,
386,0.029,,
387,0.031,,
388,0.03,,
389,0.029,,
390,0.029,,
391,0.03,,
392,0.03,,
393,0.029,,
394,0.028,,
395,0.027,,
396,0.025,,
397,0.024,,
398,0.023,,
399,0.023,,
400,0.022,,
401,0.022,,
402,0.023,,
403,0.024,,
404,0.024,,
405,0.023,,
406,0.023,,
407,0.023,,
408,0.024,,
409,0.023,,
410,0.021,,
411,0.02,,
412,0.02,,
413,0.02,,
414,0.019,,
415,0.02,,
416,0.02,,
417,0.021,,
418,0.02,,
419,0.019,,
420,0.019,,
421,0.018,,
422,0.019,,
423,0.018,,
424,0.018,,
425,0.017,,
426,0.017,,
427,0.016,,
428,0.016,,
429,0.016,,
430,0.016,,
431,0.016,,
432,0.015,,
433,0.014,,
434,0.013,,
435,0.014,,
436,0.015,,
437,0.015,,
438,0.013,,
439,0.013,,
440,0.012,,
441,0.013,,
442,0.014,,
443,0.014,,
444,0.013,,
445,0.013,,
446,0.013,,
447,0.013,,
448,0.012,,
449,0.012,,
450,0.012,,
451,0.01,,
452,0.01,,
453,0.009,,
454,0.01,,
455,0.01,,
456,0.01,,
457,0.01,,
458,0.008,,
459,0.008,,
460,0.009,,
461,0.01,,
462,0.009,,
463,0.008,,
464,0.007,,
465,0.008,,
466,0.007,,
467,0.006,,
468,0.006,,
469,0.007,,
470,0.008,,
471,0.008,,
472,0.008,,
473,0.007,,
474,0.007,,
475,0.007,,
476,0.006,,
477,0.005,,
478,0.006,,
479,0.006,,
480,0.006,,
481,0.005,,
482,0.006,,
483,0.007,,
484,0.008,,
485,0.008,,
486,0.008,,
487,0.007,,
488,0.007,,
489,0.007,,
490,0.007,,
491,0.006,,
492,0.006,,
493,0.005,,
494,0.005,,
495,0.004,,
496,0.004,,
497,0.004,,
498,0.005,,
499,0.005,,
500,0.005,,
501,0.004,,
502,0.003,,
503,0.004,,
504,0.004,,
505,0.005,,
506,0.005,,
507,0.006,,
508,0.003,,
509,0.002,,
510,0.001,,
511,0.003,,
512,0.004,,
513,0.004,,
514,0.003,,
515,0.002,,
516,0.003,,
517,0.003,,
518,0.004,,
519,0.004,,
520,0.003,,
521,0.002,,
522,0.002,,
523,0.002,,
524,0.002,,
525,0.002,,
526,0.003,,
527,0.003,,
528,0.004,,
529,0.004,,
530,0.003,,
531,0.002,,
532,0.002,,
533,0.001,,
534,0.002,,
535,0.002,,
536,0.002,,
537,0.002,,
538,0.002,,
539,0.001,,
540,0.001,,
541,0,,
542,0.001,,
543,0.003,,
544,0.002,,
545,0.001,,
546,0.001,,
547,0.001,,
548,0.001,,
549,0.001,,
550,0.002,,
551,0.002,,
552,0.001,,
553,0,,
554,0.001,,
555,-0.001,,
556,-0.001,,
557,0,,
558,0.001,,
559,0,,
560,-0.001,,
561,-0.001,,
562,0.001,,
563,0,,
564,0,,
565,-0.001,,
566,0,,
567,-0.001,,
568,-0.002,,
569,-0.002,,
570,-0.002,,
571,-0.002,,
572,-0.001,,
573,-0.001,,
574,-0.001,,
575,-0.001,,
576,0,,
577,0,,
578,0,,
579,0,,
580,-0.001,,
581,-0.001,,
582,-0.001,,
583,-0.002,,
584,-0.001,,
585,-0.001,,
586,-0.001,,
587,-0.002,,
588,-0.001,,
589,-0.003,,
590,-0.003,,
591,-0.002,,
592,-0.001,,
593,-0.003,,
594,-0.004,,
595,-0.004,,
596,-0.004,,
597,-0.003,,
598,-0.002,,
599,-0.001,,
600,-0.001,,
601,0,,
602,-0.001,,
603,0,,
604,0,,
605,0,,
606,0,,
607,-0.001,,
608,-0.002,,
609,-0.004,,
610,-0.002,,
611,0,,
612,-0.001,,
613,-0.003,,
614,-0.004,,
615,-0.002,,
616,-0.003,,
617,-0.002,,
618,-0.002,,
619,-0.002,,
620,-0.003,,
621,-0.005,,
