bod,treatment,temp,dDO,DOpre,DOpost,DO.T0,incubation.h,SOD
5,S,22,0.0118650367269112,0.205827604215227,0.167016849772063,0.226342033406619,10.4,0.407453184303268
1,LS,22,0.0120256132519904,0.207171980011553,0.167202083356967,0.227330149616919,10.3333333333333,0.41563179442363
6,S,22,0.0157800381825254,0.205457013204425,0.147558375757831,0.226458566670458,10.1833333333333,0.553426637217399
7,LS,22,0.0170002177119071,0.231522780383067,0.160485488151331,0.245486576710867,10.2833333333333,0.590422008980334
2,LS,22,0.0118167055858147,0.205611811924292,0.167876185470067,0.22695971339914,10.4166666666667,0.405144191513647
8,LS,22,0.01718991677639,0.23319465866356,0.160757463973676,0.246707047855626,10.4,0.590313076112293
4,LS,22,0.0130338729317009,0.208032386626129,0.160160898292438,0.225330262950943,10.35,0.44975406941687
10,S,22,0.0210092430319568,0.259385119934349,0.16066059230039,0.265706807460174,10.3,0.728475833285604
9,S,22,0.0159479225309627,0.206144430243579,0.147606249025809,0.227345861680623,10.0166666666667,0.568620960219731
3,S,22,0.0103402838535405,0.205489122075576,0.174391829766273,0.226093249033975,10.25,0.360288636011864
