bod,vialT0,vialTF,temp,pressure,A,time0,timeF,RmeasT0,RmeasTF,Replvol
7,3,19,25.5,767,0.0028,2015-09-22 12:42,2015-09-22 19:45,0.55,0.6,35
10,39,33,25.5,767,0.0028,2015-09-22 12:47,2015-09-22 19:47,0.65,0.600000000000001,37
5,26,18,25.5,767,0.0028,2015-09-22 12:53,2015-09-22 19:44,0.6,0.675,35
9,40,12,25.5,767,0.0028,2015-09-22 12:58,2015-09-22 19:42,0.7,0.725000000000001,37
2,2,22,25.5,767,0.0028,2015-09-22 13:04,2015-09-22 19:40,0.745,0.9,36
6,32,24,25.5,767,0.0028,2015-09-22 13:09,2015-09-22 19:35,0.555,0.75,35
1,21,15,25.5,767,0.0028,2015-09-22 13:15,2015-09-22 20:01,0.75,0.9,35
12,13,31,25.5,767,0.0028,2015-09-22 13:20,2015-09-22 19:59,0.6,0.75,35
8,7,20,25.5,767,0.0028,2015-09-22 13:26,2015-09-22 19:54,0.65,0.675000000000001,35
3,4,37,25.5,767,0.0028,2015-09-22 13:31,2015-09-22 19:57,0.75,0.899999999999999,36
11,10,6,25.5,767,0.0028,2015-09-22 13:37,2015-09-22 19:52,0.6,0.925,36
4,11,36,25.5,767,0.0028,2015-09-22 13:47,2015-09-22 19:49,0.755,0.8,37
