date,CPOM,bod,nutrient,temp,dDO,DOpre,DOpost,DO.T0,incubation.h,SOD,tot.OM,leaf.OM,sed.OM,days.elap,sod.OM
2014-06-10,no,5,no,25,0.00519572988323234,0.136352468397921,0.108239301620198,0.13421795103636,5.08333333333333,0.365039570250516,3.2492,0,3.2492,0,7.5497535149682
2014-06-10,no,8,no,25,0.0076020425153715,0.148537328482289,0.103335881608858,0.141346094185715,5,0.54300303681225,3.2492,0,3.2492,0,11.2303964279771
2014-06-10,no,3,no,25,0.00693728048938443,0.151335729056822,0.108296756074895,0.142983158521817,4.58333333333333,0.540567310861124,3.2492,0,3.2492,0,11.1800207096724
2014-06-10,no,9,no,25,0.00529319562389038,0.137613158059522,0.108489476368945,0.134955454488397,4.51666666666667,0.418544725136298,3.2492,0,3.2492,0,8.65634787921925
2014-06-10,no,2,yes,25,0.00609127575271446,0.146382258362881,0.109628999402289,0.140085378165862,4.16666666666667,0.522109350232668,3.2492,0,3.2492,0,10.7982729089115
2014-06-10,no,7,yes,25,0.0109215456569611,0.172224709274319,0.100595483664247,0.155203211949053,4.33333333333333,0.900127389309977,3.2492,0,3.2492,0,18.6164472982983
2014-06-10,no,14,yes,25,0.00647279885955586,0.152589143737183,0.111352411812049,0.143716406109829,4.06666666666667,0.568454232396592,3.2492,0,3.2492,0,11.7567784122402
2014-06-10,no,15,yes,25,0.00850401253233574,0.17277269831957,0.113003722878846,0.155523785540525,4.05,0.749912921722728,3.2492,0,3.2492,0,15.5097095715152
2014-06-10,yes,13,no,25,0.00843939233036475,0.0438274991519747,0.0378938823756577,0.0800908440274814,4.7,0.641291210514039,3.32425,0.0750499999999998,3.2492,0,12.9637570419022
2014-06-10,yes,1,no,25,0.0103905435277434,0.061873820119363,0.0386952241546868,0.0906479417934036,4.66666666666667,0.79519465773546,3.32425,0.0750499999999998,3.2492,0,16.0749284800551
2014-06-10,yes,6,no,25,0.00910722312703837,0.0632672616567416,0.0459269894575782,0.0914631050927701,4.91666666666667,0.661541631503998,3.32425,0.0750499999999998,3.2492,0,13.3731210459709
2014-06-10,yes,12,no,25,0.0115084612672234,0.0659195763216065,0.0426542452777969,0.100196551613914,4.76666666666667,0.862272322719034,3.32425,0.0750499999999998,3.2492,0,17.4309092537322
2014-06-10,yes,16,yes,25,0.00937309937687877,0.046647306992119,0.034874934729572,0.0817404316139659,4.4,0.760803520850549,3.32425,0.0750499999999998,3.2492,0,15.3797086865178
2014-06-10,yes,4,yes,25,0.0121821061953967,0.0689288308169969,0.0338645920745357,0.0947751230515194,4.15,1.04837402714258,3.32425,0.0750499999999998,3.2492,0,21.1929712338064
2014-06-10,yes,10,yes,25,0.00962677237245486,0.0598685954795432,0.0413410235168347,0.089474885379109,4.26666666666667,0.805812419569324,3.32425,0.0750499999999998,3.2492,0,16.2895674498183
2014-06-10,yes,11,yes,25,0.0096231187376608,0.0786068281969986,0.0523211578305164,0.10043675151882,4.18333333333333,0.821552538787205,3.32425,0.0750499999999998,3.2492,0,16.607755315184
2014-06-12,no,9,no,25.5,0.0187064030463796,0.269892756405952,0.168611319230284,0.262143334462182,5.36666666666667,1.24488041568631,3.2492,0,3.2492,2,25.7466342281546
2014-06-12,no,14,yes,25.5,NA,NA,0.199546853318419,NA,4.35,NA,3.2492,0,3.2492,2,NA
2014-06-12,no,5,no,25.5,0.00982500366057946,0.225200820626394,0.185811969078412,0.234936987381309,5.18333333333333,0.676963963751456,3.2492,0,3.2492,2,14.0009781989714
2014-06-12,no,3,no,25.5,0.0158333588732076,0.268668565737691,0.18119882390538,0.260365618271418,4.76666666666667,1.18631559989068,3.2492,0,3.2492,2,24.5353958859576
2014-06-12,no,8,no,25.5,0.0141169761743676,0.215717866623641,0.158804578417861,0.229389459289699,5.01666666666667,1.00500542294975,3.2492,0,3.2492,2,20.7855362619179
2014-06-12,no,7,yes,25.5,0.0238972258238512,0.203453992786612,0.102728963975781,0.222215093095037,4.51666666666667,1.88960668085276,3.2492,0,3.2492,2,39.0808718925598
2014-06-12,no,15,yes,25.5,0.0131889298037244,0.246281400411268,0.181324477536839,0.24726912655546,4.46666666666667,1.05455195658777,3.2492,0,3.2492,2,21.8102583659665
2014-06-12,no,2,yes,25.5,0.0141680066107877,0.295135309106567,0.205008630088272,0.27584866314221,4.3,1.17674473511526,3.2492,0,3.2492,2,24.3374511263527
2014-06-12,yes,12,no,25.5,0.0223543903805915,0.146698742092548,0.0772413195360518,0.189013271439009,5.3,1.5063605377757,3.32425,0.0750499999999998,3.2492,2,30.4512079833128
2014-06-12,yes,16,yes,25.5,0.024226436454174,0.162986151520642,0.0859767548724421,0.207108937143312,4.56666666666667,1.89466395627013,3.32425,0.0750499999999998,3.2492,2,38.3007950248484
2014-06-12,yes,1,no,25.5,0.022573772659597,0.186849604385295,0.099632662582281,0.212501525880266,4.93333333333333,1.63420168867739,3.32425,0.0750499999999998,3.2492,2,33.0355278571469
2014-06-12,yes,6,no,25.5,0.0098867788968,0.17002684482246,0.153226317052008,0.202660211536008,5.08333333333333,0.694621468159251,3.32425,0.0750499999999998,3.2492,2,14.0418327924499
2014-06-12,yes,11,yes,25.5,0.0176159014902028,0.181632814950746,0.121370196610041,0.209449704061055,4.4,1.42986213394503,3.32425,0.0750499999999998,3.2492,2,28.904786162625
2014-06-12,yes,10,yes,25.5,0.0216706588497861,0.16597582296541,0.0919370695007032,0.200290363749634,4.56666666666667,1.69478562433155,3.32425,0.0750499999999998,3.2492,2,34.2602373332572
