sod.bod,sod.treat,DOmmol.T0,DOmmol.TF
1,L,6.55584994500682,5.19153355701922
2,L,6.08058675109882,5.29295518046808
3,L,6.50690762715451,4.86197394792941
4,L,6.5628716303554,4.5714566572643
5,LS,6.02336714904551,8.25949728943303
6,LS,6.5245651538092,4.89945224762164
7,LS,6.03275713015405,4.60757442373393
8,S,6.01037269718965,3.73259904776401
9,S,6.04965515031094,1.5484197447073
10,LS,5.56771143080905,4.44585111133421
11,S,6.57403386520832,4.33716535302474
12,S,6.5369032369368,4.32784038739227
