bod,vialT0,vialTF,temp,pressure,A,time0,timeF,RmeasT0,RmeasTF,Replvol
9,4,25,25,762,0.0028,2015-10-01 09:29,2015-10-01 16:07,0.9,0.6,54.5
4,13,1,25,762,0.0028,2015-10-01 09:33,2015-10-01 16:10,0.8,0.85,55
5,33,16,25,762,0.0028,2015-10-01 09:42,2015-10-01 16:12,0.899999999999999,0.45,55
12,22,23,25,762,0.0028,2015-10-01 09:45,2015-10-01 16:14,0.9,0.9,55.5
3,40,5,25,762,0.0028,2015-10-01 09:52,2015-10-01 16:17,0.75,0.65,54.5
11,15,8,25,762,0.0028,2015-10-01 09:58,2015-10-01 16:19,0.8,0.55,54
2,39,34,25,762,0.0028,2015-10-01 10:05,2015-10-01 16:22,0.95,0.65,59
8,7,27,25,762,0.0028,2015-10-01 10:10,2015-10-01 16:24,0.75,0.6,53.5
6,29,30,25,762,0.0028,2015-10-01 10:18,2015-10-01 16:27,0.75,0.55,54.5
7,12,8,25,762,0.0028,2015-10-01 10:22,2015-10-01 16:29,0.65,0.65,54
10,26,9,25,762,0.0028,2015-10-01 10:28,2015-10-01 16:31,1.05,0.5,53.5
1,36,32,25,762,0.0028,2015-10-01 10:30,2015-10-01 16:33,0.9,0.85,54
