sod.bod,sod.treat,DOmmol.T0,DOmmol.TF
1,L,5.15303026919101,6.21172585988882
2,L,5.07523961270292,6.2183790534132
3,L,5.11269749857124,6.18291959170049
4,L,5.21000548819339,5.47738962370212
5,LS,4.05699221955607,4.6207976909018
6,LS,3.74055223104653,5.1337277037437
7,LS,3.74062502581809,4.07244167638478
8,S,4.41140970216828,4.62006985840315
9,S,4.79501687184648,4.95619506527719
10,LS,4.46429784405378,4.09961598950018
11,S,4.09885094150439,6.3868696522824
12,S,4.07569694554624,5.16883702321439
