sod.bod,sod.treat,DOmmol.T0,DOmmol.TF
1,L,0.302207540365268,0.137470144470811
2,L,0.290480763305289,0.107853310999711
3,L,0.304015768668788,0.237118459181866
4,L,0.313011556911682,0.156851521201121
5,LS,0.246677309183731,0.118921553850936
6,LS,0.268487694971896,0.117948059614053
7,LS,0.269298067086956,0.157759859335086
8,S,0.247637045539714,0.167599234220705
9,S,0.292194557637426,0.0690161271811496
10,LS,0.257901877839957,0.147887482677337
11,S,0.268215472708634,0.186598387016261
12,S,0.280364065800744,0.147729684967923
