bod,vialT0,vialTF,temp,pressure,A,time0,timeF,RmeasT0,RmeasTF,Replvol
5,1,15,22,30.24,0.0028,2016-02-11 09:30,2016-02-11 19:55,0.8,0.65,55
1,2,16,22,30.24,0.0028,2016-02-11 09:36,2016-02-11 20:00,0.8,0.65,53
6,3,17,22,30.24,0.0028,2016-02-11 09:40,2016-02-11 20:04,0.9,0.625,54
7,4,18,22,30.24,0.0028,2016-02-11 09:45,2016-02-11 20:06,0.8,0.625,46
2,5,19,22,30.24,0.0028,2016-02-11 09:50,2016-02-11 20:10,0.8,0.65,53
8,6,20,22,30.24,0.0028,2016-02-11 09:55,2016-02-11 20:13,1,0.625,53
4,7,21,22,30.24,0.0028,2016-02-11 09:58,2016-02-11 20:15,0.9,0.625,54
10,8,22,22,30.24,0.0028,2016-02-11 10:03,2016-02-11 20:18,0.8,0.674999999999999,53
9,9,23,22,30.24,0.0028,2016-02-11 10:09,2016-02-11 20:10,0.800000000000001,0.575000000000001,55
3,10,24,22,30.24,0.0028,2016-02-11 10:13,2016-02-11 20:24,0.799999999999999,0.574999999999999,54
