bod,treatment,temp,dDO,DOpre,DOpost,DO.T0,incubation.h,SOD
1,LS,21,0.0216850812897258,0.263986533922384,0.180908344236034,0.289333750684663,10.0333333333333,0.771894208224698
6,S,21,0.021965575122596,0.267421664970159,0.181108979418624,0.290936855031604,9.95,0.788426960610049
7,LS,21,0.0181933833215621,0.263511259334605,0.198022260000713,0.288989176608524,9.83333333333333,0.660776633955038
5,S,21,0.0183903435888592,0.265328699906483,0.197900955422173,0.289852673366469,9.88333333333333,0.664551081264487
2,LS,21,0.0158543140933952,0.29937026945279,0.233159930196818,0.312431500663794,9.98333333333333,0.56717078798218
8,LS,21,0.0116957154472578,0.267244636457205,0.232328161838294,0.290806739074583,10,0.417704123116349
4,LS,21,0.0214465355901501,0.285713253457933,0.197500719508277,0.304733397459027,9.96666666666667,0.768509397640353
10,S,21,0.0185426137046064,0.267276197343109,0.19811686780269,0.290829936325722,9.91666666666667,0.66780121385137
3,S,21,0.0119005183679211,0.267797887637696,0.232152588570649,0.291655180410255,9.8,0.433692360346978
9,S,21,0.0114929022081469,0.266946648905383,0.23312320718326,0.290587718223994,9.88333333333333,0.415306030166715
